source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000041-WEAR_7001_V1	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	1	not applicable	blood plasma	PAD000041-r00001-WEAR_7001_V1	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_CRS	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	2	not applicable	blood plasma	PAD000041-r00002-WEAR_7001_CRS	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V6	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	3	not applicable	blood plasma	PAD000041-r00003-WEAR_7001_V6	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V7	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	4	not applicable	blood plasma	PAD000041-r00004-WEAR_7001_V7	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V8	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	5	not applicable	blood plasma	PAD000041-r00005-WEAR_7001_V8	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V9	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	6	not applicable	blood plasma	PAD000041-r00006-WEAR_7001_V9	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V10	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	7	not applicable	blood plasma	PAD000041-r00007-WEAR_7001_V10	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V11	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	8	not applicable	blood plasma	PAD000041-r00008-WEAR_7001_V11	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V12	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	9	not applicable	blood plasma	PAD000041-r00009-WEAR_7001_V12	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V13	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	10	not applicable	blood plasma	PAD000041-r00010-WEAR_7001_V13	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V14	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	11	not applicable	blood plasma	PAD000041-r00011-WEAR_7001_V14	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7001_V15	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	12	not applicable	blood plasma	PAD000041-r00012-WEAR_7001_V15	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V1	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	13	not applicable	blood plasma	PAD000041-r00013-WEAR_7006_V1	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V2	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	14	not applicable	blood plasma	PAD000041-r00014-WEAR_7006_V2	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V3	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	15	not applicable	blood plasma	PAD000041-r00015-WEAR_7006_V3	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V4	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	16	not applicable	blood plasma	PAD000041-r00016-WEAR_7006_V4	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V5	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	17	not applicable	blood plasma	PAD000041-r00017-WEAR_7006_V5	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V6	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	18	not applicable	blood plasma	PAD000041-r00018-WEAR_7006_V6	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-WEAR_7006_V7	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	19	not applicable	blood plasma	PAD000041-r00019-WEAR_7006_V7	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
