source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf version]	comment[sdrf annotation tool]
PAD000016-NB177_T3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	1	not applicable	blood plasma	PAD000016-r00001-NB177_T3	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA17_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	2	not applicable	blood plasma	PAD000016-r00002-AA17_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA32_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	3	not applicable	blood plasma	PAD000016-r00003-AA32_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA38_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	4	not applicable	blood plasma	PAD000016-r00004-AA38_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-NB207_T3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	5	not applicable	blood plasma	PAD000016-r00005-NB207_T3	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA61_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	6	not applicable	blood plasma	PAD000016-r00006-AA61_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA59_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	7	not applicable	blood plasma	PAD000016-r00007-AA59_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA33_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	8	not applicable	blood plasma	PAD000016-r00008-AA33_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-SC3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	9	quality control sample	blood plasma	PAD000016-r00009-SC3	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-NB209_T3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	10	not applicable	blood plasma	PAD000016-r00010-NB209_T3	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA33_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	11	not applicable	blood plasma	PAD000016-r00011-AA33_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA09_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	12	not applicable	blood plasma	PAD000016-r00012-AA09_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA26_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	13	not applicable	blood plasma	PAD000016-r00013-AA26_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA05_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	14	not applicable	blood plasma	PAD000016-r00014-AA05_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-NB191_T3	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	15	not applicable	blood plasma	PAD000016-r00015-NB191_T3	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA61_0m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	16	not applicable	blood plasma	PAD000016-r00016-AA61_0m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-AA59_6m	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	17	not applicable	blood plasma	PAD000016-r00017-AA59_6m	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000016-IPC1	Homo sapiens	Blood plasma	not available	not available	not available	not available	not available	18	plate control	blood plasma	PAD000016-r00018-IPC1	protein expression profiling by antibody array	1	X201SC23110522-Z01-F004_NPX.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/09/PAD000016/X201SC23110522-Z01-F004_NPX.parquet	Olink Explore HT	Olink Explore HT	NPX	plate1	Plate control	Olink Explore HT	Olink Explore HT	plate control normalized	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0	NT=olink;VV=v1.0.0	v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
