source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[somascan menu]	comment[somascan platform]	comment[dilution]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000020-f01-r00001-A4098221	Homo sapiens	Blood plasma	not available	not available	not available	1	experimental sample	blood plasma	PAD000020-f01-r00001-A4098221	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00002-0357897691	Homo sapiens	Blood plasma	not available	not available	not available	2	experimental sample	blood plasma	PAD000020-f01-r00002-0357897691	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00003-A4098253	Homo sapiens	Blood plasma	not available	not available	not available	3	experimental sample	blood plasma	PAD000020-f01-r00003-A4098253	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00004-A4030388	Homo sapiens	Blood plasma	not available	not available	not available	4	experimental sample	blood plasma	PAD000020-f01-r00004-A4030388	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00005-A4098164	Homo sapiens	Blood plasma	not available	not available	not available	5	experimental sample	blood plasma	PAD000020-f01-r00005-A4098164	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00006-SID2	Homo sapiens	Blood plasma	not available	not available	not available	6	experimental sample	blood plasma	PAD000020-f01-r00006-SID2	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00007-A4098429	Homo sapiens	Blood plasma	not available	not available	not available	7	experimental sample	blood plasma	PAD000020-f01-r00007-A4098429	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00008-230500	Homo sapiens	Blood plasma	not available	not available	not available	8	experimental sample	blood plasma	PAD000020-f01-r00008-230500	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00009-A4098452	Homo sapiens	Blood plasma	not available	not available	not available	9	experimental sample	blood plasma	PAD000020-f01-r00009-A4098452	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000020-f01-r00010-A4033081	Homo sapiens	Blood plasma	not available	not available	not available	10	experimental sample	blood plasma	PAD000020-f01-r00010-A4033081	protein expression profiling by aptamer array	1	SomaScan11K_Data.adat	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PAD000020/SomaScan11K_Data.adat	SomaScan Assay	SomaScan 11K	v5.0	RFU	PLT28674	Raw RFU, Hyb Normalization, medNormInt (SampleId), plateScale, Calibration, anmlQC, qcCheck, Filtered	1	SomaScan 11K	SomaScan Assay v4.1	20%	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=somascan;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
