source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[instrument]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[olink lot number]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000041-f01-r00001-WEAR_7001_V1	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	1	not available	experimental sample	blood plasma	PAD000041-f01-r00001-WEAR_7001_V1	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00002-WEAR_7001_CRS	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	2	not available	experimental sample	blood plasma	PAD000041-f01-r00002-WEAR_7001_CRS	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00003-WEAR_7001_V6	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	3	not available	experimental sample	blood plasma	PAD000041-f01-r00003-WEAR_7001_V6	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00004-WEAR_7001_V7	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	4	not available	experimental sample	blood plasma	PAD000041-f01-r00004-WEAR_7001_V7	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00005-WEAR_7001_V8	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	5	not available	experimental sample	blood plasma	PAD000041-f01-r00005-WEAR_7001_V8	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00006-WEAR_7001_V9	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	6	not available	experimental sample	blood plasma	PAD000041-f01-r00006-WEAR_7001_V9	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00007-WEAR_7001_V10	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	7	not available	experimental sample	blood plasma	PAD000041-f01-r00007-WEAR_7001_V10	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00008-WEAR_7001_V11	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	8	not available	experimental sample	blood plasma	PAD000041-f01-r00008-WEAR_7001_V11	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00009-WEAR_7001_V12	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	9	not available	experimental sample	blood plasma	PAD000041-f01-r00009-WEAR_7001_V12	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000041-f01-r00010-WEAR_7001_V13	Homo sapiens	Blood plasma	Multiple myeloma	not available	not available	not available	not available	not available	not available	10	not available	experimental sample	blood plasma	PAD000041-f01-r00010-WEAR_7001_V13	protein expression profiling by antibody array	1	Olink_combined.long.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/04/PAD000041/Olink_combined.long.npx.csv	Olink Target 96	not available	Olink Target 96 Immuno-Oncology(v.3113)	not available	NPX	ADRO04_IO_Plate01_11082023	Intensity Normalized (v.2)	1	Olink Target 96 Immuno-Oncology(v.3113)	Olink Target 96	intensity normalized	not available	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
