accession	sdrf_path	removed_column_count	removed_columns
PAD000001	sandbox/PAD000001/PAD000001.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000002	sandbox/PAD000002/PAD000002.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000003	sandbox/PAD000003/PAD000003.sdrf.tsv	7	characteristics[developmental stage];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[dilution];comment[somascan lot number]
PAD000004	sandbox/PAD000004/PAD000004.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000005	sandbox/PAD000005/PAD000005.sdrf.tsv	7	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version]
PAD000006	sandbox/PAD000006/PAD000006.sdrf.tsv	7	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version]
PAD000008	sandbox/PAD000008/PAD000008.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000009	sandbox/PAD000009/PAD000009.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000010	sandbox/PAD000010/PAD000010.sdrf.tsv	6	characteristics[developmental stage];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[somascan lot number]
PAD000013	sandbox/PAD000013/PAD000013.sdrf.tsv	7	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[somascan lot number]
PAD000014	sandbox/PAD000014/PAD000014.sdrf.tsv	6	characteristics[developmental stage];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[somascan lot number]
PAD000016	sandbox/PAD000016/PAD000016.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000019	sandbox/PAD000019/PAD000019.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000020	sandbox/PAD000020/PAD000020.sdrf.tsv	7	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[somascan lot number]
PAD000021	sandbox/PAD000021/PAD000021.sdrf.tsv	6	characteristics[developmental stage];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[somascan lot number]
PAD000022	sandbox/PAD000022/PAD000022.sdrf.tsv	7	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version]
PAD000026	sandbox/PAD000026/PAD000026.sdrf.tsv	6	characteristics[developmental stage];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[somascan lot number]
PAD000030	sandbox/PAD000030/PAD000030.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000033	sandbox/PAD000033/PAD000033.sdrf.tsv	7	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version]
PAD000036	sandbox/PAD000036/PAD000036.sdrf.tsv	6	characteristics[developmental stage];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[somascan lot number]
PAD000037	sandbox/PAD000037/PAD000037.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
PAD000041	sandbox/PAD000041/PAD000041.sdrf.tsv	8	characteristics[developmental stage];characteristics[individual];characteristics[ancestry category];characteristics[cell type];characteristics[pooled sample];comment[instrument];comment[panel version];comment[olink lot number]
