path	platform_family	rows	added_columns	source_rule
datasets/PAD000001/PAD000001.sdrf.tsv	olink	20	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000002/PAD000002.sdrf.tsv	olink	136	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000003/PAD000003.sdrf.tsv	somascan	241	characteristics[ancestry category];comment[panel name];comment[dilution]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000004/PAD000004.sdrf.tsv	olink	192	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000005/PAD000005.sdrf.tsv	olink	92	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000006/PAD000006.sdrf.tsv	olink	92	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000008/PAD000008.sdrf.tsv	olink	616	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000009/PAD000009.sdrf.tsv	olink	110	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000010/PAD000010.sdrf.tsv	somascan	52	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000013/PAD000013.sdrf.tsv	somascan	62	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000014/PAD000014.sdrf.tsv	somascan	236	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000016/PAD000016.sdrf.tsv	olink	246	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000019/PAD000019.sdrf.tsv	olink	124	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000020/PAD000020.sdrf.tsv	somascan	120	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000021/PAD000021.sdrf.tsv	somascan	5734	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000022/PAD000022.sdrf.tsv	olink	94	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000026/PAD000026.sdrf.tsv	somascan	96	characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
datasets/PAD000030/PAD000030.sdrf.tsv	olink	335	characteristics[individual];characteristics[ancestry category];comment[panel name]	human recommended columns; affinity-proteomics recommended panel name; somascan recommended dilution where applicable
